id_lot;nb_piece;typologie;prix_tva_reduite;prix_tva_normale;prix_HT;prix_m2_HT;prix_m2_TTC;surface;etage;orientation;exterieur;balcony;garden;parking;nom_programme;ville;departement;date_fin_programme;adresse_entiere;promoteur;date_extraction
75_3_LesBucoliques_Bouygues;3;Appartement;;239000;199166.67;2639.37;3167.24;75.46;3;SO;FALSE;FALSE;FALSE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
88_1_LesBucoliques_Bouygues;4;Appartement;;239000;199166.67;2255.06;2706.07;88.32;1;SO;FALSE;FALSE;FALSE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
89_1_LesBucoliques_Bouygues;4;Appartement;;240000;200000;2222.47;2666.96;89.99;1;NO;FALSE;FALSE;TRUE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
87_LesBucoliques_Bouygues;4;Maison;;240000;200000;2274.8;2729.75;87.92;;SO;FALSE;FALSE;FALSE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
89_1__1_LesBucoliques_Bouygues;4;Appartement;;250000;208333.33;2315.07;2778.09;89.99;1;NO;FALSE;FALSE;TRUE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
89_1__2_LesBucoliques_Bouygues;4;Appartement;;250000;208333.33;2315.07;2778.09;89.99;1;NO;FALSE;FALSE;TRUE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
89__1_LesBucoliques_Bouygues;4;Maison;;255000;212500;2376.69;2852.03;89.41;;NO;TRUE;FALSE;FALSE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
89__2_LesBucoliques_Bouygues;4;Maison;;255000;212500;2376.69;2852.03;89.41;;NO;TRUE;FALSE;FALSE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
89_1__3_LesBucoliques_Bouygues;4;Appartement;;255000;212500;2361.37;2833.65;89.99;1;NO;FALSE;FALSE;TRUE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
87__1_LesBucoliques_Bouygues;4;Maison;;257000;214166.67;2435.93;2923.11;87.92;;SO;FALSE;FALSE;FALSE;1;Les Bucoliques;Cournon-d'Auvergne;63;novembre 2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;Bouygues;08/11/2021
